person_key,team_key,opponent_key,game_key,game_date,game_number,team_alignment,p_out,p_so,p_tbf,p_bb,p_h,p_er
abboa001,CIN,PHI,PHI202404010,2024-04-01,0,0,16,4,21,2,3,2
abboa001,CIN,NYN,CIN202404070,2024-04-07,0,1,15,4,24,2,7,2
abboa001,CIN,CHA,CHA202404120,2024-04-12,0,0,21,3,24,0,4,1
abboa001,CIN,SEA,SEA202404170,2024-04-17,0,0,18,6,25,3,4,2
abboa001,CIN,PHI,CIN202404230,2024-04-23,0,1,13,3,19,4,2,1
abboa001,CIN,TEX,TEX202404280,2024-04-28,0,0,16,7,21,0,6,4
abboa001,CIN,BAL,CIN202405040,2024-05-04,0,1,15,8,22,0,7,2
abboa001,CIN,SFN,SFN202405100,2024-05-10,0,0,15,2,22,1,6,2
abboa001,CIN,ARI,ARI202405150,2024-05-15,0,0,21,4,26,2,4,1
abboa001,CIN,SDN,CIN202405210,2024-05-21,0,1,21,2,25,1,4,0
abboa001,CIN,SLN,CIN202405280,2024-05-28,0,1,18,3,27,2,7,6
abboa001,CIN,COL,COL202406030,2024-06-03,0,0,18,6,26,1,7,3
abboa001,CIN,CHN,CIN202406080,2024-06-08,0,1,15,5,24,4,5,1
abboa001,CIN,MIL,MIL202406150,2024-06-15,0,0,15,3,22,3,4,3
abboa001,CIN,BOS,CIN202406210,2024-06-21,0,1,17,10,22,1,4,2
abboa001,CIN,SLN,SLN202406270,2024-06-27,0,0,15,2,23,6,2,2
abboa001,CIN,NYA,NYA202407030,2024-07-03,0,0,19,2,26,4,3,1
abboa001,CIN,COL,CIN202407080,2024-07-08,0,1,21,8,25,2,3,0
abboa001,CIN,MIA,CIN202407130,2024-07-13,0,1,10,4,19,2,7,5
abboa001,CIN,WAS,WAS202407210,2024-07-21,0,0,20,1,28,3,6,0
abboa001,CIN,TBA,TBA202407270,2024-07-27,0,0,12,2,21,2,8,4
abboa001,CIN,SFN,CIN202408020,2024-08-02,0,1,13,8,21,1,7,2
abboa001,CIN,MIA,MIA202408070,2024-08-07,0,0,15,7,23,3,6,6
abboa001,CIN,SLN,CIN202408120,2024-08-12,0,1,20,6,28,2,5,1
abboa001,CIN,KCA,CIN202408180,2024-08-18,0,1,15,4,22,1,6,4
abboa001,CIN,PIT,CIN202504120,2025-04-12,0,1,15,5,19,2,2,1
abboa001,CIN,BAL,BAL202504180,2025-04-18,0,0,18,11,21,1,2,1
abboa001,CIN,COL,COL202504250,2025-04-25,0,0,12,4,21,5,5,4
abboa001,CIN,SLN,CIN202505010,2025-05-01,0,1,12,3,18,4,3,0
abboa001,CIN,ATL,ATL202505060,2025-05-06,0,0,15,8,19,0,4,0
abboa001,CIN,CHA,CIN202505130,2025-05-13,0,1,18,7,22,0,4,1
abboa001,CIN,CLE,CIN202505180,2025-05-18,0,1,15,5,22,3,4,0
abboa001,CIN,CHN,CIN202505240,2025-05-24,0,1,17,2,23,2,6,1
abboa001,CIN,CHN,CHN202505300,2025-05-30,0,0,21,8,23,1,1,0
abboa001,CIN,MIL,CIN202506040,2025-06-04,0,1,18,6,26,1,7,5
abboa001,CIN,CLE,CLE202506100,2025-06-10,0,0,27,5,31,1,3,0
abboa001,CIN,MIN,CIN202506170,2025-06-17,0,1,17,5,26,0,8,1
abboa001,CIN,SLN,SLN202506220,2025-06-22,0,0,21,3,25,0,4,1
abboa001,CIN,SDN,CIN202506280,2025-06-28,0,1,15,4,24,2,7,1
abboa001,CIN,PHI,PHI202507040,2025-07-04,0,0,10,2,19,0,9,4
abboa001,CIN,MIA,CIN202507090,2025-07-09,0,1,23,5,30,2,6,1
abboa001,CIN,NYN,NYN202507200,2025-07-20,0,0,18,5,25,1,6,2
abboa001,CIN,TBA,CIN202507260,2025-07-26,0,1,18,7,23,3,2,1
abboa001,CIN,ATL,CIN202507310,2025-07-31,0,1,16,1,25,5,5,2
abboa001,CIN,CHN,CHN202508060,2025-08-06,0,0,20,3,29,2,7,4
abboa001,CIN,PHI,CIN202508110,2025-08-11,0,1,23,6,28,0,6,3
abboa001,CIN,MIL,CIN202508170,2025-08-17,0,1,21,7,24,0,4,0
abboa001,CIN,ARI,ARI202508230,2025-08-23,0,0,12,6,21,0,8,6
abboa001,CIN,SLN,CIN202508300,2025-08-30,0,1,15,7,22,4,3,2
abboa001,CIN,NYN,CIN202509050,2025-09-05,0,1,14,5,25,1,9,5
abboa001,CIN,SDN,SDN202509100,2025-09-10,0,0,24,6,30,2,5,1
abboa001,CIN,SLN,SLN202509160,2025-09-16,0,0,14,7,22,0,8,3
abboa001,CIN,CHN,CIN202509210,2025-09-21,0,1,14,2,20,1,5,0
abboa001,CIN,MIL,MIL202509270,2025-09-27,0,0,16,4,21,0,5,3
abelm001,PHI,PIT,PHI202505180,2025-05-18,0,1,18,9,22,0,5,0
abelm001,PHI,TOR,TOR202506040,2025-06-04,0,0,16,2,19,0,3,1
abelm001,PHI,CHN,PHI202506100,2025-06-10,0,1,12,3,20,3,6,3
abelm001,PHI,MIA,MIA202506160,2025-06-16,0,0,15,3,20,1,3,1
abelm001,PHI,NYN,PHI202506210,2025-06-21,0,1,9,1,15,0,6,4
abelm001,PHI,ATL,ATL202506270,2025-06-27,0,0,0,0,0,0,0,0
abelm001,PHI,SDN,PHI202507021,2025-07-02,1,1,5,3,12,5,2,5
abelm001,MIN,CHA,CHA202508230,2025-08-23,0,0,9,2,17,2,7,6
abelm001,MIN,PHI,PHI202509270,2025-09-27,0,0,18,9,21,1,3,0
adamt002,MIN,DET,DET202508040,2025-08-04,0,0,15,7,17,0,4,2
adamt002,MIN,NYA,NYA202508120,2025-08-12,0,0,7,2,15,4,4,4
adonj001,WAS,SFN,SFN202404090,2024-04-09,0,0,12,2,18,3,3,1
aguij002,CIN,TOR,TOR202408190,2024-08-19,0,0,12,2,18,1,4,2
aguij002,CIN,PIT,PIT202408240,2024-08-24,0,0,18,4,23,2,3,2
aguij002,CIN,OAK,CIN202408290,2024-08-29,0,1,12,1,22,1,10,6
aguij002,CIN,HOU,CIN202409020,2024-09-02,0,1,8,2,13,2,2,2
aguij002,CIN,NYN,NYN202409080,2024-09-08,0,0,14,2,19,2,2,0
aguij002,CIN,MIN,MIN202409130,2024-09-13,0,0,19,4,24,2,3,3
aguij002,CIN,ATL,CIN202409190,2024-09-19,0,1,12,4,21,2,6,7
akink001,BAL,DET,DET202504262,2025-04-26,2,0,5,1,6,1,0,0
akink001,BAL,MIL,MIL202505200,2025-05-20,0,0,3,2,4,1,0,0
akink001,BAL,DET,BAL202506120,2025-06-12,0,1,3,2,5,1,1,0
alcas001,MIA,PIT,MIA202503270,2025-03-27,0,1,14,7,20,4,2,2
