team_key,game_key,game_date,team_so,team_pa
ANA,BAL202403280,2024-03-28,14,31
ANA,BAL202403300,2024-03-30,13,37
ANA,BAL202403310,2024-03-31,8,33
ANA,MIA202404010,2024-04-01,7,39
ANA,MIA202404020,2024-04-02,6,34
ANA,MIA202404030,2024-04-03,7,47
ANA,ANA202404050,2024-04-05,10,41
ANA,ANA202404060,2024-04-06,10,36
ANA,ANA202404070,2024-04-07,8,38
ANA,ANA202404080,2024-04-08,7,40
ANA,ANA202404090,2024-04-09,7,38
ANA,ANA202404100,2024-04-10,12,38
ANA,BOS202404120,2024-04-12,6,41
ANA,BOS202404130,2024-04-13,10,36
ANA,BOS202404140,2024-04-14,11,39
ANA,TBA202404150,2024-04-15,6,41
ANA,TBA202404160,2024-04-16,13,48
ANA,TBA202404170,2024-04-17,9,40
ANA,TBA202404180,2024-04-18,11,35
ANA,CIN202404190,2024-04-19,9,34
ANA,CIN202404200,2024-04-20,7,37
ANA,CIN202404210,2024-04-21,6,36
ANA,ANA202404220,2024-04-22,8,38
ANA,ANA202404230,2024-04-23,12,35
ANA,ANA202404240,2024-04-24,16,34
ANA,ANA202404260,2024-04-26,10,37
ANA,ANA202404270,2024-04-27,5,39
ANA,ANA202404280,2024-04-28,14,35
ANA,ANA202404290,2024-04-29,3,35
ANA,ANA202404300,2024-04-30,9,37
ANA,ANA202405010,2024-05-01,11,39
ANA,CLE202405030,2024-05-03,7,38
ANA,CLE202405040,2024-05-04,8,34
ANA,CLE202405050,2024-05-05,7,33
ANA,PIT202405060,2024-05-06,5,31
ANA,PIT202405070,2024-05-07,6,46
ANA,PIT202405080,2024-05-08,9,36
ANA,ANA202405090,2024-05-09,7,38
ANA,ANA202405100,2024-05-10,9,35
ANA,ANA202405110,2024-05-11,4,37
ANA,ANA202405120,2024-05-12,12,33
ANA,ANA202405130,2024-05-13,5,36
ANA,ANA202405140,2024-05-14,13,42
ANA,ANA202405150,2024-05-15,10,40
ANA,TEX202405170,2024-05-17,11,46
ANA,TEX202405180,2024-05-18,12,48
ANA,TEX202405190,2024-05-19,7,35
ANA,HOU202405200,2024-05-20,4,41
ANA,HOU202405210,2024-05-21,8,43
ANA,HOU202405220,2024-05-22,5,33
ANA,ANA202405240,2024-05-24,10,37
ANA,ANA202405250,2024-05-25,11,35
ANA,ANA202405260,2024-05-26,8,36
ANA,ANA202405280,2024-05-28,7,32
ANA,ANA202405290,2024-05-29,9,32
ANA,ANA202405300,2024-05-30,7,35
ANA,SEA202405310,2024-05-31,8,33
ANA,SEA202406010,2024-06-01,12,33
ANA,SEA202406020,2024-06-02,9,36
ANA,ANA202406030,2024-06-03,4,28
ANA,ANA202406040,2024-06-04,2,31
ANA,ANA202406050,2024-06-05,7,30
ANA,ANA202406070,2024-06-07,8,31
ANA,ANA202406080,2024-06-08,9,41
ANA,ANA202406090,2024-06-09,8,42
ANA,ARI202406110,2024-06-11,5,38
ANA,ARI202406120,2024-06-12,8,45
ANA,ARI202406130,2024-06-13,8,36
ANA,SFN202406140,2024-06-14,3,44
ANA,SFN202406150,2024-06-15,8,37
ANA,SFN202406160,2024-06-16,8,39
ANA,ANA202406170,2024-06-17,7,32
ANA,ANA202406180,2024-06-18,9,39
ANA,ANA202406190,2024-06-19,10,33
ANA,LAN202406210,2024-06-21,8,40
ANA,LAN202406220,2024-06-22,12,31
ANA,ANA202406240,2024-06-24,6,36
ANA,ANA202406250,2024-06-25,7,37
ANA,ANA202406260,2024-06-26,12,36
ANA,ANA202406270,2024-06-27,11,34
ANA,ANA202406280,2024-06-28,10,33
ANA,ANA202406290,2024-06-29,11,41
ANA,ANA202406300,2024-06-30,8,37
ANA,OAK202407020,2024-07-02,9,39
ANA,OAK202407030,2024-07-03,4,30
ANA,OAK202407040,2024-07-04,11,36
ANA,CHN202407050,2024-07-05,7,32
ANA,CHN202407060,2024-07-06,3,45
ANA,CHN202407070,2024-07-07,3,33
ANA,ANA202407080,2024-07-08,8,36
ANA,ANA202407090,2024-07-09,9,36
ANA,ANA202407100,2024-07-10,8,37
ANA,ANA202407110,2024-07-11,8,36
ANA,ANA202407120,2024-07-12,10,40
ANA,ANA202407130,2024-07-13,8,30
ANA,ANA202407140,2024-07-14,11,29
ANA,OAK202407190,2024-07-19,8,36
ANA,OAK202407200,2024-07-20,6,37
ANA,OAK202407210,2024-07-21,9,46
ANA,SEA202407220,2024-07-22,7,37
